summary_line,timestamp,src_ip,dst_ip,ttl,length,protocol_num,protocol,src_port,dst_port,seq,ack,flags,window,protocol_info,security,qos,performance,summary
192.168.0.5:57031 -> 104.208.16.91:443 Proto: TCP,2025-05-11 21:48:18.949972,192.168.0.5,104.208.16.91,128,1480,6,TCP,57031,443,843460079,362324305,{'ACK': True},253,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1494, 'header_overhead': 40}",TCP 192.168.0.5:57031 -> 104.208.16.91:443 [A]
192.168.0.5:57031 -> 104.208.16.91:443 Proto: TCP,2025-05-11 21:48:18.950488,192.168.0.5,104.208.16.91,128,887,6,TCP,57031,443,843461519,362324305,"{'PSH': True, 'ACK': True}",253,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 901, 'header_overhead': 40}",TCP 192.168.0.5:57031 -> 104.208.16.91:443 [PA]
104.208.16.91:443 -> 192.168.0.5:57031 Proto: TCP,2025-05-11 21:48:19.040032,104.208.16.91,192.168.0.5,112,40,6,TCP,443,57031,362324305,843461519,{'ACK': True},16386,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 104.208.16.91:443 -> 192.168.0.5:57031 [A]
104.208.16.91:443 -> 192.168.0.5:57031 Proto: TCP,2025-05-11 21:48:19.040032,104.208.16.91,192.168.0.5,112,139,6,TCP,443,57031,362324305,843462366,"{'PSH': True, 'ACK': True}",16382,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 153, 'header_overhead': 40}",TCP 104.208.16.91:443 -> 192.168.0.5:57031 [PA]
192.168.0.5:57031 -> 104.208.16.91:443 Proto: TCP,2025-05-11 21:48:19.041556,192.168.0.5,104.208.16.91,128,75,6,TCP,57031,443,843462366,362324404,"{'PSH': True, 'ACK': True}",252,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 89, 'header_overhead': 40}",TCP 192.168.0.5:57031 -> 104.208.16.91:443 [PA]
104.208.16.91:443 -> 192.168.0.5:57031 Proto: TCP,2025-05-11 21:48:19.182185,104.208.16.91,192.168.0.5,112,40,6,TCP,443,57031,362324404,843462401,{'ACK': True},16382,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 104.208.16.91:443 -> 192.168.0.5:57031 [A]
192.168.0.5:53721 -> 155.133.253.34:27017 Proto: TCP,2025-05-11 21:48:23.977731,192.168.0.5,155.133.253.34,128,44,6,TCP,53721,27017,2828469229,3204462895,"{'PSH': True, 'ACK': True}",255,TCP 53721 -> 27017,,"{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 58, 'header_overhead': 40}",TCP 192.168.0.5:53721 -> 155.133.253.34:27017 [PA]
155.133.253.34:27017 -> 192.168.0.5:53721 Proto: TCP,2025-05-11 21:48:24.126187,155.133.253.34,192.168.0.5,117,40,6,TCP,27017,53721,3204462895,2828469233,{'ACK': True},1023,TCP 27017 -> 53721,,"{'dscp': 18, 'ecn': 0, 'priority': 2, 'tos_value': 72}","{'packet_size': 60, 'header_overhead': 40}",TCP 155.133.253.34:27017 -> 192.168.0.5:53721 [A]
192.168.0.5:53721 -> 155.133.253.34:27017 Proto: TCP,2025-05-11 21:48:24.126187,192.168.0.5,155.133.253.34,128,92,6,TCP,53721,27017,2828469233,3204462895,"{'PSH': True, 'ACK': True}",255,TCP 53721 -> 27017,,"{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 106, 'header_overhead': 40}",TCP 192.168.0.5:53721 -> 155.133.253.34:27017 [PA]
155.133.253.34:27017 -> 192.168.0.5:53721 Proto: TCP,2025-05-11 21:48:24.273148,155.133.253.34,192.168.0.5,117,40,6,TCP,27017,53721,3204462895,2828469285,{'ACK': True},1022,TCP 27017 -> 53721,,"{'dscp': 18, 'ecn': 0, 'priority': 2, 'tos_value': 72}","{'packet_size': 60, 'header_overhead': 40}",TCP 155.133.253.34:27017 -> 192.168.0.5:53721 [A]
